novel_name,author,novelurl,serialstatus,serialnumber,category,collects,reviews,month
火爆医妃之病王太腹黑,香雪宠儿,http://www.xxsy.net/info/730430.html,已完成,819716,古言,996,1000000000,30485
百变闺秀,伊人伊梦,http://www.xxsy.net/info/175515.html,已完成,499197,古言,872,98452000,3684
绣色可餐,青青的悠然,http://www.xxsy.net/info/693438.html,已完成,2173137,古言,35000,1000000000,122996
渣王作妃,浅浅的心,http://www.xxsy.net/info/740003.html,已完成,1954837,古言,40000,1000000000,485961
重生之国民男神,水千澈,http://www.xxsy.net/info/704775.html,已完成,2655610,现言,55000,1100000000,139168
凤临之妖王滚下榻,战西野,http://www.xxsy.net/info/611668.html,已完成,4067332,玄幻,49000,1100000000,115762
重生之深宫嫡女,元长安,http://www.xxsy.net/info/439250.html,已完成,2283614,古言,20000,1200000000,63671
钻石闪婚之溺宠小娇妻,花间妖,http://www.xxsy.net/info/732012.html,已完成,2432497,现言,33000,1200000000,84850
豪门重生之暖爱成婚,大雪人,http://www.xxsy.net/info/778326.html,已完成,1964300,现言,16000,1200000000,70604
毒后归来之家有暴君,顾轻狂,http://www.xxsy.net/info/759701.html,已完成,2654740,古言,22000,1200000000,46953
顾先深的闪婚贵妻,菜卷泪,http://www.xxsy.net/info/748754.html,已完成,1176156,现言,18000,1300000000,82887
豪门重生之妇贵逼人,恩很宅,http://www.xxsy.net/info/790887.html,已完成,3635080,现言,34000,1600000000,234532
傲风,风行烈,http://www.xxsy.net/info/207080.html,连载中,2737504,玄幻,73000,2200000000,458044
11处特工皇妃,潇湘冬儿,http://www.xxsy.net/info/165098.html,已完成,980041,古言,98000,5500000000,609476
军少强宠之地球的后裔,爱吃香瓜的女孩,http://www.xxsy.net/info/803090.html,已完成,962919,现言,658,18751000,19453
孤王寡女,姒锦,http://www.xxsy.net/info/772870.html,已完成,2172049,古言,41000,94052000,100427
爱妻入骨之盛婚厚爱,叶清欢,http://www.xxsy.net/info/678387.html,已完成,2028313,现言,22000,94635000,285485
公爵,燕子回时,http://www.xxsy.net/info/815467.html,连载中,3680863,现言,11000,18837000,50507
豪门暖媳,浮光锦,http://www.xxsy.net/info/750785.html,已完成,1623638,现言,22000,94994000,63966
末世重生之尸王宠悍妻,一襟晚照,http://www.xxsy.net/info/787615.html,已完成,1727059,现言,14000,95348000,63876
神医废材妃,连玦,http://www.xxsy.net/info/636952.html,已完成,4218950,玄幻,44000,96083000,145580
王爷求你休了我：妃常闹腾,舒歌,http://www.xxsy.net/info/366536.html,已完成,962233,古言,51000,97829000,58483
重生之公主有毒,水灵妖十二,http://www.xxsy.net/info/803592.html,已完成,3066985,古言,817,17040000,30705
娱乐圈颜值担当,淡粥,http://www.xxsy.net/info/808530.html,已完成,806941,现言,569,17052000,39230
女帝本色,天下归元,http://www.xxsy.net/info/543353.html,已完成,2855719,古言,74000,17133000,40913
废后当自强,凌凄凄,http://www.xxsy.net/info/260020.html,已完成,198483,古言,32000,18454000,14354
空间之伏魔千金,寂雪飘飘,http://www.xxsy.net/info/814916.html,已完成,1942152,玄幻,839,18558000,51851
快穿之女配要上位,安酥,http://www.xxsy.net/info/801940.html,已完成,874040,科幻,559,18617000,61117
重生之重回校园,燕回,http://www.xxsy.net/info/808745.html,已完成,1362376,现言,690,19714000,29435
婚然心动慕少太危险,醇香,http://www.xxsy.net/info/811567.html,已完成,1002868,现言,544,19209000,4154
钻石宠婚之妙妻狂想娶,海鸥,http://www.xxsy.net/info/809540.html,已完成,1704046,现言,863,20035000,17445
叶少独宠冷娇妻,疏影斜月,http://www.xxsy.net/info/801928.html,已完成,902530,现言,752,20938000,15865
首席妙探独宠妻,一尾妖鱼,http://www.xxsy.net/info/806720.html,已完成,2085670,悬疑,1028,22272000,24871
重生一医世无双,景渊,http://www.xxsy.net/info/811772.html,已完成,1731265,仙侠,825,21829000,155111
少年医仙,逐没,http://www.17k.com/book/458754.html,完本,8720223,奇幻修真,915791,397661885,2061619
混沌剑神,心星逍遥,http://www.17k.com/book/83528.html,连载,6332973,异界大陆,448520,275660533,13320668
超级兵王,步千帆,http://www.17k.com/book/108821.html,连载,18690958,都市激战,363702,324931648,27739437
暧昧高手,紫气东来,http://www.17k.com/book/80782.html,完本,7128045,校园风云,554237,339253798,829263
我们是兄弟,纯银耳坠,http://www.17k.com/book/446704.html,完本,6239040,热血青春,2063132,400603728,4724698
吞天记,风青阳,http://www.17k.com/book/1469383.html,连载,4779380,东方玄幻,298284,259976778,4375101
武逆,只是小虾米,http://www.17k.com/book/192453.html,连载,6425869,东方玄幻,351418,408184881,15715876
传奇再现,伪戒,http://www.17k.com/book/1540808.html,连载,4978765,都市生活,242720,424218090,14662499
