,novel_name,author,collects,reviews,hot
1766,11处特工皇妃,潇湘冬儿,98000,5500000000,1650068600.0
2427,修罗武神,善良的蜜蜂,2201082,3988965700,1198230467.4
1765,傲风,风行烈,73000,2200000000,660051100.0
15968,傲视群雄之冰冷王爷,日辰睡莲,196,1841499153,552449883.1
1764,豪门重生之妇贵逼人,恩很宅,34000,1600000000,480023800.0
1763,顾先深的闪婚贵妻,菜卷泪,18000,1300000000,390012600.0
1760,钻石闪婚之溺宠小娇妻,花间妖,33000,1200000000,360023100.0
1762,毒后归来之家有暴君,顾轻狂,22000,1200000000,360015400.0
1759,重生之深宫嫡女,元长安,20000,1200000000,360014000.0
1761,豪门重生之暖爱成婚,大雪人,16000,1200000000,360011200.0
2426,万古仙穹,观棋,577496,1132361196,340112606.0
1757,重生之国民男神,水千澈,55000,1100000000,330038500.0
1758,凤临之妖王滚下榻,战西野,49000,1100000000,330034300.0
2425,斩龙,失落叶,3628704,1063149101,321484823.1
1756,渣王作妃,浅浅的心,40000,1000000000,300028000.0
1754,绣色可餐,青青的悠然,35000,1000000000,300024500.0
1755,火爆医妃之病王太腹黑,香雪宠儿,996,1000000000,300000697.2
2424,人皇纪,皇甫奇,272013,927599865,278470368.6
713,朕的皇后能见鬼,昭宥,7384,838003581,251406243.1
2246,杀手房东俏房客,老施,997679,706544907,212661847.4
