,novel_name,author,collects,reviews,month
2427,修罗武神,善良的蜜蜂,2201082,3988965700,103494809.0
2235,超级兵王,步千帆,363702,325057345,27865134.0
2223,九星霸体诀,平凡魔术师,134069,182944982,21554205.0
2239,武逆,只是小虾米,351418,408241557,15772552.0
5308,龙符,梦入神机,483169,226300822,15724002.0
2240,传奇再现,伪戒,242734,424263161,14707570.0
2234,混沌剑神,心星逍遥,448526,275722940,13383075.0
3040,大逆之门,知白,107925,146303222,12030996.0
3043,妙医鸿途,烟斗老哥,66102,164186830,11759454.0
2567,万域之王,逆苍天,220962,168436532,11235802.0
2229,终极教官,梁七少,99900,230305702,11218750.0
2231,女神的近身护卫,肥茄子,124943,233477537,11166228.0
2216,女总裁的全能兵王,寂寞的舞者,75445,148046378,10946109.0
2244,龙血战神,风青阳,1031923,518839023,10733941.0
5666,医品宗师,步行天下,81517,114401547,10635452.0
4555,大夏王侯,一夕烟雨,47060,30963778,10459528.0
312,圣武星辰,乱世狂刀,70552,44862388,10417958.0
7249,最强逆袭,关中老人,66968,124966816,10413235.0
5290,大刁民,仲星羽,69818,142285965,10404418.0
2424,人皇纪,皇甫奇,272013,927599865,9185087.0
