,novel_name,author,collects,reviews,month
103427,满城尽是黄巾军,追雪逍遥01,12100,471700,饰
93342,EXO恶魔公主浴血重生,琳茉馨,0,7170：日记,风雨再起
100602,龙墓世界,龙骨卫,4427,1??年栀子花开,风尘筱晓
68977,剑舞焚天,墨羽辰轩,2582,25?的较量,风一声
104824,飘零吧我的时光,夏至梧桐雨,连载,167887,青青校园
106219,红衣战天下，莫忘江湖情,乱世妖骨,连载,37505,青青校园
103766,末世九泣歌,轮回忧伤夜,连载,57629,青青校园
108600,未来日纪,乐音麟,完本,270220,青青校园
98984,人族最后的希望,独孤天命,连载,79684,青青校园
72682,魔兽争霸异界纵横,愤怒的萨尔,连载中,374874,青春
47139,堪破时空,唯心不唯欲,已完成,178287,青春
91440,19岁的眼睛,舟辙,连载中,17188,青春
68478,尘封之心之综漫同舟,璃殇之泷,已完成,147188,青春
46599,时代风暴,空瞳,193,477,重生
20052,妃要逆天：倾狂召唤师,妖怪殿下,完本,1010880,都市重生
15617,倾沐之一心,青木宁,完本,703990,都市生活
30614,至尊狂盗,凉笙旧辞,连载,172347,都市生活
36204,花落忆流年,江南烟雨画,连载,568945,都市异能
115722,龙族之龙王sama该醒了,姻脂,连载中,2054,都市
4410,绝世神通,独孤小杜,连载中,81702,都市
