novel_name,author,collects,reviews,month
择天记,猫腻,21374489,26118589,4764.0
圣墟,辰东,15228000,6159299,125308.0
一念永恒,耳根,14303500,6552100,84048.0
斗战狂潮,骷髅精灵,13828000,9629300,94212.0
青帝,荆柯守,13807289,8702303,2064.0
凡人修仙传,忘语,13803100,101118600,6596.0
从零开始,雷云风暴,13386900,64911600,764.0
天影,萧鼎,11429300,10080500,86288.0
罪恶之城,烟雨江南,10836094,168832302,2532328.0
我真是大明星,尝谕,9915500,2935500,34608.0
超凡传,萧潜,9360000,9630200,89840.0
女华佗种田记,倾情一诺,9099700,7204100,1216.0
联盟之谁与争锋,乱,9038561,15609506,556.0
大官人,三戒大师,8907092,6069030,1052.0
五行天,方想,8665100,4202500,5412.0
大明武夫,特别白,8049022,5435592,1300.0
大主宰,天蚕土豆,8010599,32397900,1452.0
不朽凡人,鹅是老五,7942200,3728300,33388.0
盘龙,我吃西红柿,7727000,94633500,64.0
冠军之光,林海听涛,7618122,2685148,400.0
